"Issue ID","Parent ID","Issue Type","Summary","Description","Epic Name","Epic Link","Story Points","Priority"
"E-001","","Epic","V2 Data Foundation and Ingestion","Set up schema, adapters, validation, deduplication, and storage quality for reliable scholarship ingestion.","V2 Data Foundation and Ingestion","","13","Highest"
"E-002","","Epic","V2 Telegram User Experience","Build Telegram onboarding, profile management, and user-safe interaction flow.","V2 Telegram User Experience","","8","High"
"E-003","","Epic","V2 Matching and Notification Engine","Build profile-based ranking, explainable scoring, and controlled notifications.","V2 Matching and Notification Engine","","16","Highest"
"E-004","","Epic","V2 Operations Quality and Launch","Automate jobs, add observability, test coverage, security checks, and launch playbook.","V2 Operations Quality and Launch","","16","High"
"S-001","","Story","Design schema and create baseline migrations","Create core tables: scholarship, source, scrape_run, user_profile, match_score, notification_event. Add indexes for deadlines, country, and status.","","E-001","3","Highest"
"ST-001","S-001","Sub-task","Create schema migration script","Add initial SQL migration and ensure rollback path exists.","","","1","Highest"
"ST-002","S-001","Sub-task","Add integrity constraints and indexes","Enforce required fields and add indexes for query performance.","","","1","High"
"ST-003","S-001","Sub-task","Document schema contract","Write table and field contract notes for future iteration.","","","1","Medium"
"S-002","","Story","Build source adapter base and retry strategy","Implement a reusable adapter contract with fetch parse validate map lifecycle, plus retry backoff with jitter.","","E-001","5","Highest"
"ST-004","S-002","Sub-task","Define adapter interface","Define common methods and typed payload for all future sources.","","","2","High"
"ST-005","S-002","Sub-task","Implement retry backoff utility","Handle transient failures with bounded retries and delay strategy.","","","2","High"
"ST-006","S-002","Sub-task","Add source run logging","Log source run id, counts, duration, and failure reasons.","","","1","Medium"
"S-003","","Story","Implement source adapter for source #1","Connect first scholarship source, parse records, and store canonical fields.","","E-001","5","Highest"
"ST-007","S-003","Sub-task","Build source fetcher","Add source-specific fetch logic with pagination support.","","","2","High"
"ST-008","S-003","Sub-task","Map parsed records to canonical model","Map title provider country amount deadline url and eligibility fields.","","","2","High"
"ST-009","S-003","Sub-task","Add parser tests for source #1","Cover malformed input and missing field edge cases.","","","1","Medium"
"S-004","","Story","Implement source adapter for source #2","Connect second source and ensure records are normalized with same quality rules.","","E-001","5","High"
"ST-010","S-004","Sub-task","Build source #2 fetcher","Implement retrieval strategy for secondary source.","","","2","High"
"ST-011","S-004","Sub-task","Implement parser and mapping for source #2","Map fields to canonical schema and validate quality.","","","2","High"
"ST-012","S-004","Sub-task","Add parser tests for source #2","Add tests for typical and edge record formats.","","","1","Medium"
"S-005","","Story","Implement deduplication and canonicalization pipeline","Prevent duplicate scholarships and normalize inconsistent values across sources.","","E-001","5","Highest"
"ST-013","S-005","Sub-task","Define dedup key strategy","Use title provider deadline country and normalized url hash.","","","1","High"
"ST-014","S-005","Sub-task","Build canonicalization module","Normalize date amount provider naming and country values.","","","2","High"
"ST-015","S-005","Sub-task","Implement merge and lineage rules","Merge duplicate entries while preserving source metadata.","","","2","Medium"
"S-006","","Story","Build Telegram onboarding flow","Implement /start and collect profile preferences with validation.","","E-002","5","Highest"
"ST-016","S-006","Sub-task","Create /start first-run wizard","Prompt for country study level field and budget preference.","","","2","High"
"ST-017","S-006","Sub-task","Persist user profile","Store and update profile values in user_profile.","","","2","High"
"ST-018","S-006","Sub-task","Add input validation and safe defaults","Reject invalid entries and apply safe fallback behavior.","","","1","Medium"
"S-007","","Story","Add profile management commands","Enable profile review, updates, and notification pause or resume.","","E-002","3","High"
"ST-019","S-007","Sub-task","Implement /profile command","Show current profile and preference summary.","","","1","Medium"
"ST-020","S-007","Sub-task","Implement /set command handlers","Allow updates to country level field and budget.","","","1","High"
"ST-021","S-007","Sub-task","Implement /pause and /resume","Pause and restore notification delivery state.","","","1","Medium"
"S-008","","Story","Build weighted matching engine v1","Rank opportunities by profile fit and store explanation reasons.","","E-003","8","Highest"
"ST-022","S-008","Sub-task","Define scoring rules and weights","Create scoring model by eligibility deadline location and field fit.","","","2","High"
"ST-023","S-008","Sub-task","Implement ranking pipeline","Compute candidate rankings and persist top matches per user.","","","4","Highest"
"ST-024","S-008","Sub-task","Store explainability metadata","Save why each opportunity matched for transparency.","","","2","Medium"
"S-009","","Story","Implement notification dispatcher","Deliver digest and urgent notifications from ranked matches.","","E-003","5","Highest"
"ST-025","S-009","Sub-task","Build daily digest sender","Bundle top opportunities and send scheduled digest.","","","2","High"
"ST-026","S-009","Sub-task","Build urgent alert sender","Send high-score or deadline-critical alerts.","","","2","High"
"ST-027","S-009","Sub-task","Track send outcomes","Store sent failed retried states for every message.","","","1","Medium"
"S-010","","Story","Add idempotency and anti-spam controls","Prevent duplicate and excessive sends with seen-item and cooldown logic.","","E-003","3","High"
"ST-028","S-010","Sub-task","Implement seen-item tracking","Avoid sending already delivered scholarships.","","","1","High"
"ST-029","S-010","Sub-task","Implement cooldown policy","Limit frequency of alerts and digests by user.","","","1","High"
"ST-030","S-010","Sub-task","Use idempotent dispatch keys","Protect against retry duplication in message pipeline.","","","1","Medium"
"S-011","","Story","Automate scheduled jobs and run history","Schedule scrape match notify workflows and keep run history.","","E-004","5","Highest"
"ST-031","S-011","Sub-task","Schedule scraping cadence","Run ingestion at fixed intervals with source-level control.","","","2","High"
"ST-032","S-011","Sub-task","Schedule matching and notify cadence","Run ranking and dispatch jobs on predictable schedule.","","","2","High"
"ST-033","S-011","Sub-task","Persist run logs","Store status duration counts and error details for each run.","","","1","Medium"
"S-012","","Story","Implement observability baseline","Add structured logs metrics and alert thresholds for critical failures.","","E-004","3","High"
